date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:38	1251/1251	------	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2007:37:14%20GMT	https://papi.cash/robots.txt		(from )
15:52:38	63565/63565	------	200	untouched ('OK')	text/html	date:Sun,%2017%20Dec%202023%2017:17:34%20GMT	https://papi.cash/	D:/papiChulo/papi.cash/index.html	(from )
15:52:38	0/0	---M--	200	added ('OK')	text/plain	date:Mon,%2009%20Dec%202024%2007:52:38%20GMT	https://www.facebook.com/tr?id=3031824483781293&ev=PageView&noscript=1	D:/papiChulo/www.facebook.com/tr.6a31d.delayed	(from https://papi.cash/)
15:52:38	244078/244078	------	200	untouched ('OK')	text/css	date:Thu,%2025%20May%202023%2009:20:09%20GMT	https://papi.cash/asset/css/webflow.fe0eb3982.min.css	D:/papiChulo/papi.cash/asset/css/webflow.fe0eb3982.min.css	(from https://papi.cash/)
15:52:38	156/156	------	400	error ('Bad%20Request')	text/html	date:Mon,%2009%20Dec%202024%2007:37:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/papiChulo/www.googletagmanager.com/gtm.85445.delayed	(from https://papi.cash/)
15:52:38	19715/19715	------	200	untouched ('OK')	text/css	date:Fri,%2021%20Apr%202023%2005:57:01%20GMT	https://papi.cash/ZealAnimator-v2.0.min.css	D:/papiChulo/papi.cash/ZealAnimator-v2.0.min.css	(from https://papi.cash/)
15:52:38	1621/1621	------	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2007:37:16%20GMT	https://fonts.googleapis.com/	D:/papiChulo/fonts.googleapis.com/index.html	(from https://papi.cash/)
15:52:38	1561/1561	------	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2007:37:16%20GMT	https://fonts.gstatic.com/	D:/papiChulo/fonts.gstatic.com/index.html	(from https://papi.cash/)
15:52:38	16037/16037	------	200	untouched ('')	text/javascript	date:Fri,%2021%20Apr%202023%2005:57:01%20GMT	https://papi.cash/asset/js/about-us.js	D:/papiChulo/papi.cash/asset/js/about-us.js	(from https://papi.cash/)
15:52:38	6918/6918	------	200	untouched ('')	image/png	date:Wed,%2017%20May%202023%2020:54:11%20GMT	https://papi.cash/asset/image/Favicon.png	D:/papiChulo/papi.cash/asset/image/Favicon.png	(from https://papi.cash/)
15:52:38	41774/41774	------	200	untouched ('')	image/png	date:Wed,%2017%20May%202023%2020:48:42%20GMT	https://papi.cash/asset/image/Webclip.png	D:/papiChulo/papi.cash/asset/image/Webclip.png	(from https://papi.cash/)
15:52:38	228043/228043	------	200	untouched ('')	application/javascript	date:Mon,%2009%20Dec%202024%2006:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-223542390-1	D:/papiChulo/www.googletagmanager.com/gtag/js5e69	(from https://papi.cash/)
15:52:38	0/0	------	200	untouched ('')	text/plain	date:Mon,%2009%20Dec%202024%2007:37:17%20GMT	https://www.facebook.com/tr?id=500506608659529&ev=PageView&noscript=1	D:/papiChulo/www.facebook.com/tr31cc	(from https://papi.cash/)
15:52:38	107746/107746	------	200	untouched ('')	text/javascript	date:Fri,%2021%20Apr%202023%2005:57:01%20GMT	https://papi.cash/asset/js/jquery.min.js	D:/papiChulo/papi.cash/asset/js/jquery.min.js	(from https://papi.cash/)
15:52:38	37559/37559	------	200	untouched ('OK')	text/css	date:Fri,%2021%20Apr%202023%2005:57:01%20GMT	https://papi.cash/asset/css/plyr.css	D:/papiChulo/papi.cash/asset/css/plyr.css	(from https://papi.cash/)
15:52:38	266/266	------	200	untouched ('OK')	text/html	date:Mon,%2009%20Dec%202024%2007:37:18%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-WLPBNBS	D:/papiChulo/www.googletagmanager.com/ns0441.html	(from https://papi.cash/)
15:52:38	63565/63565	------	200	untouched ('OK')	text/html	date:Sun,%2017%20Dec%202023%2017:17:34%20GMT	https://papi.cash/index.html	D:/papiChulo/papi.cash/index-2.html	(from https://papi.cash/)
15:52:38	48607/48607	------	200	untouched ('')	image/png	date:Wed,%2017%20May%202023%2020:58:28%20GMT	https://papi.cash/main.png	D:/papiChulo/papi.cash/main.png	(from https://papi.cash/)
15:52:38	385690/385690	------	200	untouched ('')	image/png	date:Wed,%2017%20May%202023%2020:18:31%20GMT	https://papi.cash/asset/image/Phone_sml.png	D:/papiChulo/papi.cash/asset/image/Phone_sml.png	(from https://papi.cash/)
15:52:38	135279/135279	------	200	untouched ('')	image/png	date:Fri,%2021%20Apr%202023%2005:57:01%20GMT	https://papi.cash/asset/image/logo/rounds.png	D:/papiChulo/papi.cash/asset/image/logo/rounds.png	(from https://papi.cash/)
15:52:38	755612/755612	------	200	untouched ('')	image/png	date:Fri,%2021%20Apr%202023%2005:57:01%20GMT	https://papi.cash/asset/image/Homepage%20shapes.png	D:/papiChulo/papi.cash/asset/image/Homepage%20shapes.png	(from https://papi.cash/)
15:52:38	11472/11472	------	200	untouched ('')	image/jpeg	date:Wed,%2017%20May%202023%2021:57:24%20GMT	https://papi.cash/asset/image/Phone%20Shadow.jpg	D:/papiChulo/papi.cash/asset/image/Phone%20Shadow.jpg	(from https://papi.cash/)
15:52:55	222323/222323	------	200	untouched ('')	image/png	etag:%2205d15e59464046a22c50940cd3b1018a%22	https://uploads-ssl.webflow.com/622667ce4130814b6ddb0d75/622667ce41308126f3db0d85_video_cover.png	D:/papiChulo/uploads-ssl.webflow.com/622667ce4130814b6ddb0d75/622667ce41308126f3db0d85_video_cover.png	(from https://papi.cash/asset/css/webflow.fe0eb3982.min.css)
15:52:55	51/51	------	200	untouched ('OK')	text/plain	date:Mon,%2009%20Dec%202024%2007:39:33%20GMT	https://fonts.googleapis.com/robots.txt		(from https://papi.cash/)
15:52:55	1571/1571	------	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2007:39:33%20GMT	https://fonts.gstatic.com/robots.txt		(from https://papi.cash/)
